template_id,template_name,hazard_type,rule_id,event_kind,time_pct,time_jitter_pct,selection_scope,sector,subtype,target_mode,target_value,allow_reuse_asset,performance_pct,repair_time_min,repair_time_max,geo_anchor,geo_param_1_km,priority,notes
TS_025,Tsunami/Flood – Lowland Inundation,TSUNAMI,TS_025_R001,IMPACT,2.5,0.4,GEO_RADIUS,electricity,substation,PCT,24,0,0,1440,4320,FLOOD_POCKET,5,10,Inundation: electrical assets flooded
TS_025,Tsunami/Flood – Lowland Inundation,TSUNAMI,TS_025_R002,IMPACT,2.5,0.4,GEO_RADIUS,electricity,transformer,PCT,30,0,10,1440,4320,FLOOD_POCKET,6,10,Inundation: electrical assets flooded
TS_025,Tsunami/Flood – Lowland Inundation,TSUNAMI,TS_025_R003,IMPACT,2.5,0.4,GEO_RADIUS,electricity,mv_node,PCT,34,0,30,1440,4320,FLOOD_POCKET,7,10,Inundation: electrical assets flooded
TS_025,Tsunami/Flood – Lowland Inundation,TSUNAMI,TS_025_R004,IMPACT,2.5,0.4,GEO_RADIUS,electricity,lv_node,PCT,36,0,40,1440,4320,FLOOD_POCKET,8,10,Inundation: electrical assets flooded
TS_025,Tsunami/Flood – Lowland Inundation,TSUNAMI,TS_025_R005,IMPACT,3.2,0.4,GEO_RADIUS,communication,cell_tower,PCT,18,0,40,360,1440,FLOOD_POCKET,7,8,Coastal/lowland towers fail
TS_025,Tsunami/Flood – Lowland Inundation,TSUNAMI,TS_025_R006,IMPACT,3.5,0.4,GEO_RADIUS,communication,exchange,PCT,14,0,50,480,1440,FLOOD_POCKET,6,8,Exchange impacted by flood/power
TS_025,Tsunami/Flood – Lowland Inundation,TSUNAMI,TS_025_R007,IMPACT,3.8,0.4,GEO_RADIUS,water,pump_station,PCT,24,0,10,720,2160,FLOOD_POCKET,8,9,Pumps inundated
TS_025,Tsunami/Flood – Lowland Inundation,TSUNAMI,TS_025_R008,IMPACT,4.1,0.4,GEO_RADIUS,water,treatment,PCT,18,0,20,1440,4320,FLOOD_POCKET,7,8,Treatment offline
TS_025,Tsunami/Flood – Lowland Inundation,TSUNAMI,TS_025_R009,IMPACT,4.4,0.4,GEO_RADIUS,gas,regulator,PCT,14,0,30,720,2160,FLOOD_POCKET,7,7,Gas safety shutdowns
TS_025,Tsunami/Flood – Lowland Inundation,TSUNAMI,TS_025_R010,IMPACT,4.7,0.4,GEO_RADIUS,gas,pipeline_node,PCT,12,0,40,720,2160,FLOOD_POCKET,8,6,Pipeline isolation
TS_025,Tsunami/Flood – Lowland Inundation,TSUNAMI,TS_025_R011,IMPACT,6.0,0.4,GEO_SCATTER,electricity,mv_node,PCT,8,0,50,240,720,CITY_CENTER,0,6,Secondary: feeder trips due to switching
