template_id,template_name,hazard_type,rule_id,event_kind,time_pct,time_jitter_pct,selection_scope,sector,subtype,target_mode,target_value,allow_reuse_asset,performance_pct,repair_time_min,repair_time_max,geo_anchor,geo_param_1_km,priority,notes
EQ_030,Earthquake – Dense Urban Multi-wave,EARTHQUAKE,EQ_030_R001,IMPACT,0.8,0.4,GEO_RADIUS,electricity,substation,PCT,22,0,5,720,1440,EPICENTER,6,10,Initial shock near epicenter (substation)
EQ_030,Earthquake – Dense Urban Multi-wave,EARTHQUAKE,EQ_030_R002,IMPACT,0.8,0.4,GEO_RADIUS,electricity,transformer,PCT,30,0,15,720,1440,EPICENTER,8,10,Initial shock near epicenter (transformer)
EQ_030,Earthquake – Dense Urban Multi-wave,EARTHQUAKE,EQ_030_R003,IMPACT,0.8,0.4,GEO_RADIUS,electricity,mv_node,PCT,34,0,35,720,1440,EPICENTER,10,10,Initial shock near epicenter (mv_node)
EQ_030,Earthquake – Dense Urban Multi-wave,EARTHQUAKE,EQ_030_R004,IMPACT,0.8,0.4,GEO_RADIUS,electricity,lv_node,PCT,38,0,45,720,1440,EPICENTER,12,10,Initial shock near epicenter (lv_node)
EQ_030,Earthquake – Dense Urban Multi-wave,EARTHQUAKE,EQ_030_R005,IMPACT,1.2,0.4,GEO_RADIUS,communication,exchange,PCT,12,0,40,480,1440,EPICENTER,10,9,Exchange sites impacted by power + shaking
EQ_030,Earthquake – Dense Urban Multi-wave,EARTHQUAKE,EQ_030_R006,IMPACT,1.4,0.4,GEO_RADIUS,communication,fiber_node,PCT,14,0,50,360,1080,EPICENTER,12,9,Fiber nodes damaged / power loss
EQ_030,Earthquake – Dense Urban Multi-wave,EARTHQUAKE,EQ_030_R007,IMPACT,1.6,0.4,GEO_RADIUS,communication,cell_tower,PCT,16,0,55,240,720,EPICENTER,14,8,Cell towers degraded
EQ_030,Earthquake – Dense Urban Multi-wave,EARTHQUAKE,EQ_030_R008,IMPACT,1.8,0.4,GEO_RADIUS,water,pump_station,PCT,16,0,45,360,1080,EPICENTER,12,8,Pumps disrupted
EQ_030,Earthquake – Dense Urban Multi-wave,EARTHQUAKE,EQ_030_R009,IMPACT,2.0,0.4,GEO_RADIUS,water,treatment,PCT,12,0,55,720,2160,EPICENTER,10,7,Treatment constrained
EQ_030,Earthquake – Dense Urban Multi-wave,EARTHQUAKE,EQ_030_R010,IMPACT,2.2,0.4,GEO_RADIUS,gas,regulator,PCT,14,0,50,360,1080,EPICENTER,10,7,Gas regulation affected
EQ_030,Earthquake – Dense Urban Multi-wave,EARTHQUAKE,EQ_030_R011,IMPACT,2.4,0.4,GEO_RADIUS,gas,pipeline_node,PCT,12,0,60,360,1080,EPICENTER,12,6,Pipeline nodes shutoffs
EQ_030,Earthquake – Dense Urban Multi-wave,EARTHQUAKE,EQ_030_R012,IMPACT,3.0,0.4,GEO_SCATTER,electricity,mv_node,PCT,10,0,50,180,420,CITY_CENTER,0,7,Secondary MV trips citywide
EQ_030,Earthquake – Dense Urban Multi-wave,EARTHQUAKE,EQ_030_R013,IMPACT,3.1,0.4,GEO_SCATTER,electricity,lv_node,PCT,12,0,60,120,300,CITY_CENTER,0,7,Secondary LV trips citywide
EQ_030,Earthquake – Dense Urban Multi-wave,EARTHQUAKE,EQ_030_R014,IMPACT,3.4,0.4,GEO_SCATTER,electricity,mv_node,PCT,10,0,50,180,420,CITY_CENTER,0,7,Secondary MV trips citywide
EQ_030,Earthquake – Dense Urban Multi-wave,EARTHQUAKE,EQ_030_R015,IMPACT,3.5,0.4,GEO_SCATTER,electricity,lv_node,PCT,12,0,60,120,300,CITY_CENTER,0,7,Secondary LV trips citywide
