template_id,template_name,hazard_type,rule_id,event_kind,time_pct,time_jitter_pct,selection_scope,sector,subtype,target_mode,target_value,allow_reuse_asset,performance_pct,repair_time_min,repair_time_max,geo_anchor,geo_param_1_km,priority,notes
SS_020,Severe Storm – Wind + Flood Pockets,SEVERE_STORM,SS_020_R001,IMPACT,2.0,0.4,GEO_SCATTER,electricity,lv_node,PCT,34,0,45,120,300,CITY_CENTER,0,10,Wind: widespread LV outages
SS_020,Severe Storm – Wind + Flood Pockets,SEVERE_STORM,SS_020_R002,IMPACT,2.3,0.4,GEO_SCATTER,electricity,mv_node,PCT,28,0,40,180,420,CITY_CENTER,0,9,Wind: MV faults
SS_020,Severe Storm – Wind + Flood Pockets,SEVERE_STORM,SS_020_R003,IMPACT,2.6,0.4,GEO_SCATTER,electricity,transformer,PCT,14,0,30,240,720,CITY_CENTER,0,9,Lightning: transformer failures
SS_020,Severe Storm – Wind + Flood Pockets,SEVERE_STORM,SS_020_R004,IMPACT,2.9,0.4,GEO_SCATTER,communication,cell_tower,PCT,14,0,60,180,540,CITY_CENTER,0,8,Towers degraded by power/backhaul
SS_020,Severe Storm – Wind + Flood Pockets,SEVERE_STORM,SS_020_R005,IMPACT,3.2,0.4,GEO_SCATTER,communication,fiber_node,PCT,12,0,55,240,720,CITY_CENTER,0,8,Fiber instability
SS_020,Severe Storm – Wind + Flood Pockets,SEVERE_STORM,SS_020_R006,IMPACT,3.5,0.4,GEO_RADIUS,electricity,substation,PCT,14,0,0,720,2160,FLOOD_POCKET,5,9,Flood pocket: substations offline
SS_020,Severe Storm – Wind + Flood Pockets,SEVERE_STORM,SS_020_R007,IMPACT,3.8,0.4,GEO_RADIUS,water,pump_station,PCT,16,0,20,360,1080,FLOOD_POCKET,5,8,Flood pocket: pumps constrained
SS_020,Severe Storm – Wind + Flood Pockets,SEVERE_STORM,SS_020_R008,IMPACT,4.1,0.4,GEO_RADIUS,gas,regulator,PCT,12,0,50,360,1080,FLOOD_POCKET,5,7,Flood pocket: gas shutdowns
SS_020,Severe Storm – Wind + Flood Pockets,SEVERE_STORM,SS_020_R009,IMPACT,6.0,0.4,GEO_SCATTER,electricity,lv_node,PCT,10,0,55,120,300,CITY_CENTER,0,6,Ongoing gusts: LV repeat outages
SS_020,Severe Storm – Wind + Flood Pockets,SEVERE_STORM,SS_020_R010,IMPACT,6.2,0.4,GEO_SCATTER,electricity,mv_node,PCT,8,0,50,180,420,CITY_CENTER,0,6,Ongoing gusts: MV repeat outages
